"Date","Video Views","Profile Views","Likes","Comments","Shares"
"4 de noviembre","1","0","0","0","0"
"5 de noviembre","0","0","0","0","0"
"6 de noviembre","4","0","0","0","0"
"7 de noviembre","0","0","0","0","0"
"8 de noviembre","0","0","0","0","0"
"9 de noviembre","1","0","0","0","0"
"10 de noviembre","1","0","0","0","0"
"11 de noviembre","0","0","0","0","0"
"12 de noviembre","0","0","0","0","0"
"13 de noviembre","0","0","0","0","0"
"14 de noviembre","0","0","0","0","0"
"15 de noviembre","0","0","0","0","0"
"16 de noviembre","0","0","0","0","0"
"17 de noviembre","0","0","0","0","0"
"18 de noviembre","0","0","0","0","0"
"19 de noviembre","0","0","0","0","0"
"20 de noviembre","3","0","0","0","0"
"21 de noviembre","0","0","0","0","0"
"22 de noviembre","0","0","0","0","0"
"23 de noviembre","0","0","0","0","0"
"24 de noviembre","0","0","0","0","0"
"25 de noviembre","2","0","0","0","0"
"26 de noviembre","0","0","0","0","0"
"27 de noviembre","1","0","0","0","0"
"28 de noviembre","0","0","0","0","0"
"29 de noviembre","1","0","0","0","0"
"30 de noviembre","0","0","0","0","0"
"1 de diciembre","1","0","0","0","0"
"2 de diciembre","0","0","0","0","0"
"3 de diciembre","1","0","0","0","0"
"4 de diciembre","1","0","0","0","0"
"5 de diciembre","0","0","0","0","0"
"6 de diciembre","0","0","0","0","0"
"7 de diciembre","1","0","0","0","0"
"8 de diciembre","0","0","0","0","0"
"9 de diciembre","0","0","0","0","0"
"10 de diciembre","14","1","0","0","0"
"11 de diciembre","0","0","0","0","0"
"12 de diciembre","0","1","0","0","0"
"13 de diciembre","0","0","0","0","0"
"14 de diciembre","14","3","3","1","0"
"15 de diciembre","2","0","0","0","0"
"16 de diciembre","1","0","0","0","0"
"17 de diciembre","0","0","0","0","0"
"18 de diciembre","0","0","0","0","0"
"19 de diciembre","0","0","0","0","0"
"20 de diciembre","2","0","0","0","0"
"21 de diciembre","0","0","0","0","0"
"22 de diciembre","0","0","0","0","0"
"23 de diciembre","0","0","0","0","0"
"24 de diciembre","0","0","0","0","0"
"25 de diciembre","2","0","0","0","0"
"26 de diciembre","1","0","0","0","0"
"27 de diciembre","0","0","0","0","0"
"28 de diciembre","0","0","0","0","0"
"29 de diciembre","0","0","0","0","0"
"30 de diciembre","1","0","0","0","0"
"31 de diciembre","0","0","0","0","0"
"1 de enero","0","0","0","0","0"
"2 de enero","1","0","0","0","0"